"","hr","holiday","workingday","weathersit","temp","atemp","hum","windspeed","cnt","instant","mnth","yr"
"220","3",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0,3,13223,7,1
"221","4",FALSE,TRUE,"Clear to partly cloudy",0.68,0.6364,0.79,0.1343,4,13224,7,1
"222","5",FALSE,TRUE,"Clear to partly cloudy",0.66,0.6061,0.83,0.1343,42,13225,7,1
"223","6",FALSE,TRUE,"Misty",0.68,0.6364,0.79,0.1045,187,13226,7,1
"224","7",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1045,520,13227,7,1
"225","8",FALSE,TRUE,"Clear to partly cloudy",0.72,0.697,0.74,0.1343,649,13228,7,1
"226","9",FALSE,TRUE,"Clear to partly cloudy",0.74,0.697,0.66,0.1343,331,13229,7,1
"227","10",FALSE,TRUE,"Clear to partly cloudy",0.76,0.7121,0.62,0.194,190,13230,7,1
"228","11",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.46,0.194,249,13231,7,1
"229","12",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.1343,272,13232,7,1
"230","13",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.38,0.194,280,13233,7,1
"231","14",FALSE,TRUE,"Clear to partly cloudy",0.82,0.7273,0.38,0.1642,242,13234,7,1
"232","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2239,265,13235,7,1
"233","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7273,0.43,0.2239,435,13236,7,1
"234","17",FALSE,TRUE,"Clear to partly cloudy",0.78,0.7121,0.49,0.194,872,13237,7,1
"235","18",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.74,0.2239,819,13238,7,1
"236","19",FALSE,TRUE,"Light Precipitation",0.7,0.6667,0.74,0.2239,414,13239,7,1
"237","20",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.83,0.2239,84,13240,7,1
"238","21",FALSE,TRUE,"Light Precipitation",0.64,0.5758,0.89,0.1045,90,13241,7,1
"239","22",FALSE,TRUE,"Misty",0.64,0.5758,0.83,0.1343,139,13242,7,1
"240","23",FALSE,TRUE,"Misty",0.64,0.5758,0.89,0.1045,103,13243,7,1
"241","0",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1343,44,13244,7,1
"242","1",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0,14,13245,7,1
"243","2",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0,5,13246,7,1
"244","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1343,5,13247,7,1
"245","4",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1343,7,13248,7,1
"246","5",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0,41,13249,7,1
"247","6",FALSE,TRUE,"Clear to partly cloudy",0.64,0.5758,0.89,0.1343,185,13250,7,1
"248","7",FALSE,TRUE,"Misty",0.66,0.6061,0.83,0.1045,497,13251,7,1
"249","8",FALSE,TRUE,"Misty",0.68,0.6364,0.79,0.1642,674,13252,7,1
"250","9",FALSE,TRUE,"Misty",0.7,0.6667,0.74,0.1343,328,13253,7,1
"251","10",FALSE,TRUE,"Misty",0.72,0.6818,0.62,0.1343,195,13254,7,1
"252","11",FALSE,TRUE,"Misty",0.76,0.7121,0.58,0.1343,229,13255,7,1
"253","12",FALSE,TRUE,"Misty",0.78,0.697,0.43,0,292,13256,7,1
"254","13",FALSE,TRUE,"Misty",0.8,0.7121,0.42,0.1642,273,13257,7,1
"255","14",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2239,241,13258,7,1
"256","15",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.41,0.2537,276,13259,7,1
"257","16",FALSE,TRUE,"Clear to partly cloudy",0.8,0.7121,0.38,0.194,411,13260,7,1
"258","17",FALSE,TRUE,"Clear to partly cloudy",0.8,0.697,0.31,0.2239,830,13261,7,1
"259","18",FALSE,TRUE,"Clear to partly cloudy",0.78,0.6818,0.38,0.2537,814,13262,7,1
"260","19",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.48,0.2239,633,13263,7,1
"261","20",FALSE,TRUE,"Clear to partly cloudy",0.74,0.6667,0.51,0.1642,483,13264,7,1
"262","21",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.2239,391,13265,7,1
"263","22",FALSE,TRUE,"Clear to partly cloudy",0.72,0.6667,0.58,0.2537,244,13266,7,1
"264","23",FALSE,TRUE,"Misty",0.7,0.6515,0.58,0.2537,152,13267,7,1
"265","0",FALSE,TRUE,"Misty",0.68,0.6364,0.61,0,56,13268,7,1
"266","1",FALSE,TRUE,"Misty",0.66,0.6212,0.61,0,21,13269,7,1
"267","2",FALSE,TRUE,"Misty",0.66,0.6212,0.65,0.0896,9,13270,7,1
"268","3",FALSE,TRUE,"Clear to partly cloudy",0.64,0.6061,0.69,0.1045,10,13271,7,1
